,Country,Year,Value_union,MEASURE,Age group,Value_gini_cpi
2,Hungary,2009,11.9,CPI2010,Total population,95.36930448
3,Hungary,2009,11.9,CPI2010,Total population,95.36930448
12,Hungary,2009,11.9,CPI2015,Total population,85.62177
17,Hungary,2009,11.9,CPI2015,Total population,85.62177
19,Hungary,2015,9.0,CPI2010,Total population,111.3844113
26,Hungary,2015,9.0,CPI2015,Total population,100.0
28,Hungary,2015,9.4,CPI2010,Total population,111.3844113
35,Hungary,2015,9.4,CPI2015,Total population,100.0
38,Poland,2009,16.3,CPI2010,Total population,97.48422593
39,Poland,2009,16.3,CPI2010,Total population,97.48422593
48,Poland,2009,16.3,CPI2015,Total population,90.15737
52,Poland,2009,16.3,CPI2015,Total population,90.15737
56,Poland,2010,18.3,CPI2010,Total population,100.0
57,Poland,2010,18.3,CPI2010,Total population,100.0
66,Poland,2010,18.3,CPI2015,Total population,92.48406
70,Poland,2010,18.3,CPI2015,Total population,92.48406
74,Poland,2011,17.0,CPI2010,Total population,104.2394008
75,Poland,2011,17.0,CPI2010,Total population,104.2394008
84,Poland,2011,17.0,CPI2015,Total population,96.40483
88,Poland,2011,17.0,CPI2015,Total population,96.40483
92,Poland,2012,15.4,CPI2010,Total population,107.9507106
93,Poland,2012,15.4,CPI2010,Total population,107.9507106
102,Poland,2012,15.4,CPI2015,Total population,99.8372
106,Poland,2012,15.4,CPI2015,Total population,99.8372
109,Poland,2014,15.0,CPI2010,Total population,109.08020259999998
115,Poland,2014,15.0,CPI2015,Total population,100.8818
118,Poland,2016,12.7,CPI2010,Total population,107.4079577
124,Poland,2016,12.7,CPI2015,Total population,99.33524
127,Mexico,2010,13.8,CPI2010,Total population,100.0
132,Mexico,2010,13.8,CPI2015,Total population,83.74461
136,Mexico,2010,14.5,CPI2010,Total population,100.0
141,Mexico,2010,14.5,CPI2015,Total population,83.74461
145,Sweden,2009,70.8,CPI2010,Total population,98.8552772
150,Sweden,2009,70.8,CPI2015,Total population,95.42492
154,Sweden,2009,68.4,CPI2010,Total population,98.8552772
159,Sweden,2009,68.4,CPI2015,Total population,95.42492
163,Sweden,2010,70.2,CPI2010,Total population,100.0
168,Sweden,2010,70.2,CPI2015,Total population,96.52992
172,Sweden,2010,68.2,CPI2010,Total population,100.0
177,Sweden,2010,68.2,CPI2015,Total population,96.52992
181,Sweden,2011,68.3,CPI2010,Total population,102.9611544
186,Sweden,2011,68.3,CPI2015,Total population,99.38832
190,Sweden,2011,67.5,CPI2010,Total population,102.9611544
195,Sweden,2011,67.5,CPI2015,Total population,99.38832
199,Sweden,2013,68.0,CPI2010,Total population,103.8298799
204,Sweden,2013,68.0,CPI2015,Total population,100.2269
208,Sweden,2013,67.7,CPI2010,Total population,103.8298799
213,Sweden,2013,67.7,CPI2015,Total population,100.2269
217,Sweden,2014,67.7,CPI2010,Total population,103.6433056
222,Sweden,2014,67.7,CPI2015,Total population,100.0468
226,Sweden,2014,67.3,CPI2010,Total population,103.6433056
231,Sweden,2014,67.3,CPI2015,Total population,100.0468
235,Sweden,2015,67.8,CPI2010,Total population,103.5948232
240,Sweden,2015,67.8,CPI2015,Total population,100.0
244,Sweden,2015,67.0,CPI2010,Total population,103.5948232
249,Sweden,2015,67.0,CPI2015,Total population,100.0
253,Sweden,2016,66.9,CPI2010,Total population,104.6145071
