,Country,Year,Value_union_x,MEASURE_x,Age group_x,Value_gini_cpi_x,Value_union_y,MEASURE_y,Age group_y,Value_gini_cpi_y
0,Hungary,2009,11.9,GINI,Total population,0.241,11.9,CPI2010,Total population,95.36930448
1,Hungary,2009,11.9,GINI,Total population,0.241,11.9,CPI2010,Total population,95.36930448
2,Hungary,2009,11.9,GINI,Total population,0.241,11.9,CPI2015,Total population,85.62177
3,Hungary,2009,11.9,GINI,Total population,0.241,11.9,CPI2015,Total population,85.62177
4,Hungary,2009,11.9,GINI,Total population,0.272,11.9,CPI2010,Total population,95.36930448
5,Hungary,2009,11.9,GINI,Total population,0.272,11.9,CPI2010,Total population,95.36930448
6,Hungary,2009,11.9,GINI,Total population,0.272,11.9,CPI2015,Total population,85.62177
7,Hungary,2009,11.9,GINI,Total population,0.272,11.9,CPI2015,Total population,85.62177
8,Hungary,2015,9.0,GINI,Total population,0.284,9.0,CPI2010,Total population,111.3844113
9,Hungary,2015,9.0,GINI,Total population,0.284,9.0,CPI2015,Total population,100.0
10,Hungary,2015,9.0,GINI,Total population,0.284,9.4,CPI2010,Total population,111.3844113
11,Hungary,2015,9.0,GINI,Total population,0.284,9.4,CPI2015,Total population,100.0
12,Hungary,2015,9.4,GINI,Total population,0.284,9.0,CPI2010,Total population,111.3844113
13,Hungary,2015,9.4,GINI,Total population,0.284,9.0,CPI2015,Total population,100.0
14,Hungary,2015,9.4,GINI,Total population,0.284,9.4,CPI2010,Total population,111.3844113
15,Hungary,2015,9.4,GINI,Total population,0.284,9.4,CPI2015,Total population,100.0
16,Poland,2009,16.3,GINI,Total population,0.303,16.3,CPI2010,Total population,97.48422593
17,Poland,2009,16.3,GINI,Total population,0.303,16.3,CPI2010,Total population,97.48422593
18,Poland,2009,16.3,GINI,Total population,0.303,16.3,CPI2015,Total population,90.15737
19,Poland,2009,16.3,GINI,Total population,0.303,16.3,CPI2015,Total population,90.15737
20,Poland,2009,16.3,GINI,Total population,0.306,16.3,CPI2010,Total population,97.48422593
21,Poland,2009,16.3,GINI,Total population,0.306,16.3,CPI2010,Total population,97.48422593
22,Poland,2009,16.3,GINI,Total population,0.306,16.3,CPI2015,Total population,90.15737
23,Poland,2009,16.3,GINI,Total population,0.306,16.3,CPI2015,Total population,90.15737
24,Poland,2010,18.3,GINI,Total population,0.304,18.3,CPI2010,Total population,100.0
25,Poland,2010,18.3,GINI,Total population,0.304,18.3,CPI2010,Total population,100.0
26,Poland,2010,18.3,GINI,Total population,0.304,18.3,CPI2015,Total population,92.48406
27,Poland,2010,18.3,GINI,Total population,0.304,18.3,CPI2015,Total population,92.48406
28,Poland,2010,18.3,GINI,Total population,0.307,18.3,CPI2010,Total population,100.0
29,Poland,2010,18.3,GINI,Total population,0.307,18.3,CPI2010,Total population,100.0
30,Poland,2010,18.3,GINI,Total population,0.307,18.3,CPI2015,Total population,92.48406
31,Poland,2010,18.3,GINI,Total population,0.307,18.3,CPI2015,Total population,92.48406
32,Poland,2011,17.0,GINI,Total population,0.301,17.0,CPI2010,Total population,104.2394008
33,Poland,2011,17.0,GINI,Total population,0.301,17.0,CPI2010,Total population,104.2394008
34,Poland,2011,17.0,GINI,Total population,0.301,17.0,CPI2015,Total population,96.40483
35,Poland,2011,17.0,GINI,Total population,0.301,17.0,CPI2015,Total population,96.40483
36,Poland,2011,17.0,GINI,Total population,0.303,17.0,CPI2010,Total population,104.2394008
37,Poland,2011,17.0,GINI,Total population,0.303,17.0,CPI2010,Total population,104.2394008
38,Poland,2011,17.0,GINI,Total population,0.303,17.0,CPI2015,Total population,96.40483
39,Poland,2011,17.0,GINI,Total population,0.303,17.0,CPI2015,Total population,96.40483
40,Poland,2012,15.4,GINI,Total population,0.298,15.4,CPI2010,Total population,107.9507106
41,Poland,2012,15.4,GINI,Total population,0.298,15.4,CPI2010,Total population,107.9507106
42,Poland,2012,15.4,GINI,Total population,0.298,15.4,CPI2015,Total population,99.8372
43,Poland,2012,15.4,GINI,Total population,0.298,15.4,CPI2015,Total population,99.8372
44,Poland,2012,15.4,GINI,Total population,0.3,15.4,CPI2010,Total population,107.9507106
