,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Country
0,AUS,EDUADULT,BUPPSRY,PC_25_64,2009,28.972523,Australia
1,AUS,EDUADULT,BUPPSRY,PC_25_64,2010,26.792744,Australia
2,AUS,EDUADULT,BUPPSRY,PC_25_64,2011,25.922543,Australia
3,AUS,EDUADULT,BUPPSRY,PC_25_64,2012,23.563389,Australia
4,AUS,EDUADULT,BUPPSRY,PC_25_64,2013,24.28443,Australia
5,AUS,EDUADULT,BUPPSRY,PC_25_64,2014,22.895836,Australia
6,AUS,EDUADULT,BUPPSRY,PC_25_64,2015,20.980895999999998,Australia
7,AUS,EDUADULT,BUPPSRY,PC_25_64,2016,20.067352,Australia
8,AUS,EDUADULT,BUPPSRY,PC_25_64,2017,19.012659,Australia
9,AUS,EDUADULT,BUPPSRY,PC_25_64,2018,18.108641,Australia
10,AUS,EDUADULT,TRY,PC_25_64,2009,36.881355,Australia
11,AUS,EDUADULT,TRY,PC_25_64,2010,37.604309,Australia
12,AUS,EDUADULT,TRY,PC_25_64,2011,38.342071999999995,Australia
13,AUS,EDUADULT,TRY,PC_25_64,2012,41.282364,Australia
14,AUS,EDUADULT,TRY,PC_25_64,2013,39.539928,Australia
15,AUS,EDUADULT,TRY,PC_25_64,2014,41.901855,Australia
16,AUS,EDUADULT,TRY,PC_25_64,2015,42.888756,Australia
17,AUS,EDUADULT,TRY,PC_25_64,2016,43.7439,Australia
18,AUS,EDUADULT,TRY,PC_25_64,2017,45.355675,Australia
19,AUS,EDUADULT,TRY,PC_25_64,2018,45.727478000000005,Australia
20,AUS,EDUADULT,UPPSRY,PC_25_64,2009,34.146122,Australia
21,AUS,EDUADULT,UPPSRY,PC_25_64,2010,35.602947,Australia
22,AUS,EDUADULT,UPPSRY,PC_25_64,2011,35.735386,Australia
23,AUS,EDUADULT,UPPSRY,PC_25_64,2012,35.154247,Australia
24,AUS,EDUADULT,UPPSRY,PC_25_64,2013,36.17564,Australia
25,AUS,EDUADULT,UPPSRY,PC_25_64,2014,35.202309,Australia
26,AUS,EDUADULT,UPPSRY,PC_25_64,2015,36.130348,Australia
27,AUS,EDUADULT,UPPSRY,PC_25_64,2016,36.188747,Australia
28,AUS,EDUADULT,UPPSRY,PC_25_64,2017,35.631668,Australia
29,AUS,EDUADULT,UPPSRY,PC_25_64,2018,36.163879,Australia
30,AUT,EDUADULT,BUPPSRY,PC_25_64,2009,18.354979,Austria
31,AUT,EDUADULT,BUPPSRY,PC_25_64,2010,17.647495000000003,Austria
32,AUT,EDUADULT,BUPPSRY,PC_25_64,2011,17.636829000000002,Austria
33,AUT,EDUADULT,BUPPSRY,PC_25_64,2012,17.08353,Austria
34,AUT,EDUADULT,BUPPSRY,PC_25_64,2013,17.028001999999997,Austria
35,AUT,EDUADULT,BUPPSRY,PC_25_64,2014,16.143998999999997,Austria
36,AUT,EDUADULT,BUPPSRY,PC_25_64,2015,15.351304999999998,Austria
37,AUT,EDUADULT,BUPPSRY,PC_25_64,2016,15.471591,Austria
38,AUT,EDUADULT,BUPPSRY,PC_25_64,2017,15.037576999999999,Austria
39,AUT,EDUADULT,BUPPSRY,PC_25_64,2018,14.702526,Austria
40,AUT,EDUADULT,TRY,PC_25_64,2009,26.895823999999998,Austria
41,AUT,EDUADULT,TRY,PC_25_64,2010,27.743721,Austria
42,AUT,EDUADULT,TRY,PC_25_64,2011,27.956152000000003,Austria
43,AUT,EDUADULT,TRY,PC_25_64,2012,28.739943,Austria
