,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Aruba,ABW,4.714680194854741,4.73986005783081,4.92364978790283,,4.4084801673889205,4.68132019042969,,4.81504011154175,4.9992299079895,5.924789905548099,6.9292697906494105,6.1191301345825195,6.549059867858889,6.505380153656009,5.90521001815796,5.97570991516113,5.52414989471436,,,
1,Afghanistan,AFG,,,,,,,,,,,3.4794499874115004,3.4620099067688,2.60419988632202,3.45445990562439,3.69521999359131,3.2558000087737997,4.22836017608643,4.0588698387146005,,
2,Angola,AGO,2.60753011703491,,,,,2.12011003494263,2.28146004676819,,,,3.4213199615478502,,,,,,,,,
3,Albania,ALB,3.4301700592041002,3.45869994163513,3.11779999732971,3.13824009895325,3.22751998901367,3.2815499305725098,3.1914598941802996,3.27592992782593,,,,,,3.53929996490479,,3.4379699230194105,3.96209001541138,3.61172008514404,,
4,Andorra,AND,,,1.6597100496292099,,1.54411995410919,1.64497005939484,2.24489998817444,2.10469007492065,2.8739299774169904,3.1429200172424303,2.9766299724578897,2.98706007003784,,2.50616002082825,3.0742099285125697,3.2803499698638903,3.23707008361816,3.21708989143372,3.2467200756073,3.15161991119385
5,Arab World,ARB,,,,,4.67072010040283,,,,4.33701992034912,,,,,,,,,,,
6,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,
7,Argentina,ARG,4.580309867858889,4.833740234375,4.01734018325806,3.5350499153137203,3.4865200519561803,3.8600099086761497,4.12821006774902,4.46260023117065,4.8444099426269505,5.53105020523071,5.019710063934331,5.290629863739009,5.34582996368408,5.43661022186279,5.3614401817321795,5.776110172271731,5.54548978805542,5.46223020553589,,
8,Armenia,ARM,2.7727301120758097,2.46943998336792,2.13504004478455,2.1450400352478,2.48673009872437,2.71202993392944,2.71577000617981,3.01893997192383,3.17272996902466,3.84079003334045,3.24900007247925,3.14385008811951,2.77248001098633,2.65018010139465,2.24724006652832,2.8059101104736297,2.7581200599670397,2.70759010314941,,
9,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,
10,Antigua and Barbuda,ATG,,,3.39427995681763,,,,,,,2.51724004745483,,,,,,,,,,
11,Australia,AUS,4.89146995544434,,,,,4.91029977798462,4.75019979476929,4.66089010238647,4.63776016235352,5.08582019805908,5.55005979537964,5.07451009750366,4.86899995803833,5.22974014282227,5.164770126342769,5.31127023696899,5.2767801284789995,5.124249935150151,,
12,Austria,AUT,5.588809967041019,5.57547998428345,5.52213001251221,5.36183023452759,5.302430152893071,5.249370098114009,5.22652006149292,5.1469001770019505,5.26395988464355,5.73024988174438,5.70047998428345,5.59226989746094,5.48040008544922,5.547110080718991,5.4476199150085405,5.45658016204834,5.48435020446777,5.35803985595703,,
13,Azerbaijan,AZE,3.8539900779724103,3.50342011451721,3.1544599533081095,3.2861499786377,3.44770002365112,2.97462010383606,2.5555200576782204,2.5492799282073997,2.44092988967896,3.2243099212646498,2.7806200981140097,2.43564009666443,2.06763005256653,2.44213008880615,2.63303995132446,2.9516799449920694,2.9034099578857404,2.47381997108459,2.45543003082275,
14,Burundi,BDI,2.64547991752625,2.90390992164612,3.0049300193786603,,3.7449600696563703,3.6321599483490004,,,5.19290018081665,6.1719498634338406,6.77524995803833,6.31925010681152,6.16786003112793,5.99535989761353,6.78452014923096,6.37054014205933,4.69199991226196,4.76202011108398,5.07864999771118,
15,Belgium,BEL,,,,,,5.79585981369019,,,6.33294010162354,6.4580998420715305,6.442590236663821,6.43199014663696,,6.630529880523679,6.59046983718872,6.4515700340271,6.459539890289309,6.412280082702639,,
16,Benin,BEN,2.11366009712219,2.36509990692139,2.15949010848999,2.2831599712371804,2.56690001487732,2.6566801071167,2.5634000301361097,2.36331009864807,2.77728009223938,3.0892701148986803,3.6799700260162402,,3.56202006340027,3.3275101184845,3.161789894104,3.1729800701141397,2.8991000652313197,3.5355899333953897,2.93396997451782,
17,Burkina Faso,BFA,,,,,,3.94113993644714,3.98218989372253,4.07983016967773,,,3.50222992897034,3.9851500988006605,3.60315990447998,4.08343982696533,4.05329990386963,3.67008996009827,,5.60346984863281,5.38379001617432,
18,Bangladesh,BGD,2.1250801086425803,2.1719300746917702,2.01714992523193,2.06939005851746,1.9401400089263898,,2.13128995895386,2.20221996307373,2.0545699596405,1.9394199848175002,,2.13269996643066,2.1754999160766597,1.96616005897522,,,1.5355399847030602,,,1.32632005214691
19,Bulgaria,BGR,,3.3842399120330797,3.38608002662659,3.9984500408172594,2.31995010375977,4.10879993438721,3.90346002578735,3.6826400756835898,4.2223801612853995,4.27628993988037,3.8823900222778303,3.56643009185791,3.4948499202728303,4.07420015335083,,,,4.0925002098083505,,
20,Bahrain,BHR,,,,,,,2.87440991401672,2.5750000476837203,2.49677991867065,,,,2.64530992507935,2.47689008712769,2.46745991706848,2.66808009147644,,2.32781004905701,,
21,"Bahamas, The",BHS,2.23284006118774,,,,,,,,,,,,,,,,,,,
22,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,
23,Belarus,BLR,6.19661998748779,,,,5.7122597694397,5.8710298538208,6.07696008682251,5.15210008621216,,4.3689398765564,5.22003984451294,4.68479013442993,4.95964002609253,5.0094199180603,4.8183097839355495,4.78751993179321,4.94654989242554,4.79499006271362,,
