,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Aruba,ABW,,,,,,,,,,,,,,,,,,,
1,Afghanistan,AFG,,,15.80316353,17.03574371,20.4127636,23.89050102,27.83657074,31.27183914,38.10266113,41.72274399,44.99053192,50.85347366,51.44026184,55.03462982,59.00893402,58.90652847,60.18867111,65.70602417,49.84260941
2,Angola,AGO,12.99896717,28.91812134,29.04936409,34.87518692,49.81074142,54.26077652,69.81230164,92.86030579,135.60581969999998,119.99628448,96.69701385,122.10723114,122.18558502,143.60687256,131.6476593,108.58293915,95.12497711,114.33460236,87.61676788
3,Albania,ALB,80.61695099,89.58073425,96.27111816,125.98797607,156.56817627,165.26533508,174.53024292,222.30366516,220.46424866,186.44281006,192.0032196,211.07551575,213.71974182,236.95796204,251.35826111,192.88513184,202.01332092,226.28067017,274.91409302
4,Andorra,AND,1292.03942871,1319.90600586,1508.52075195,1812.3157959000002,2033.00354004,2301.59350586,2158.87573242,2392.8203125,2774.4934082,2687.85595703,2642.16552734,2567.52539063,2342.56835938,2432.78271484,2529.08984375,2246.25439453,2361.2175293,2567.42382813,2821.80126953
5,Arab World,ARB,113.81151860869801,117.088829168806,116.421657904345,113.31479478920001,124.084016685224,137.94595497424498,158.918697622518,186.140625844351,217.18100242139099,240.726498710521,245.61112344793,283.216092767765,306.166782684661,340.070541011011,367.349266422623,350.12540701067496,348.060666539955,391.371034454971,392.551396957434
6,United Arab Emirates,ARE,787.02111816,777.13061523,857.91192627,886.5012207000001,894.54040527,913.3560791000001,974.52062988,1072.70532227,1303.14074707,1296.97766113,1314.63000488,1438.47216797,1403.52490234,1523.88378906,1588.28234863,1385.53771973,1298.12792969,1650.01855469,1817.34765625
7,Argentina,ARG,708.76953125,675.05786133,223.84860229,262.28659058,311.64505005,392.58874512,455.7980956999999,572.0401001,746.49328613,785.67022705,985.03442383,1208.39160156,1368.42297363,1421.65759277,1286.21765137,1531.48425293,1153.53405762,1529.61621094,1127.90722656
8,Armenia,ARM,26.12908936,32.25933838,59.63238907,66.77802277,72.17178345,96.35484314,126.25294495,172.60186768,266.31158447,252.83560181,297.22906494,330.57556152,336.32055664,396.23254395,405.72888184,364.97280884,357.45776367,405.6506958,422.28268433
9,American Samoa,ASM,,,,,,,,,,,,,,,,,,,
10,Antigua and Barbuda,ATG,512.56829834,563.73712158,550.0645752,602.69360352,585.72125244,626.7166748,648.22711182,694.53643799,673.83752441,591.42523193,701.81781006,693.80725098,727.25695801,711.22979736,792.8414917,754.24188232,778.45111084,795.55981445,875.17254639
11,Australia,AUS,1638.81494141,1564.16650391,1770.46618652,2249.29077148,2767.13696289,3013.08764648,3184.80761719,3799.73754883,4090.76196289,3995.34008789,4945.03808594,5861.70263672,6025.34472656,5813.98535156,5607.91796875,4860.37207031,4971.61474609,5308.78320313,5425.34033203
