,LOCATION,Country,INDICATOR,SUBJECT,MEASURE,Year,Value_edu,Value_tu
0,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2009,28.972523,19.6
1,AUS,Australia,EDUADULT,TRY,PC_25_64,2009,36.881355,19.6
2,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2009,34.146122,19.6
3,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2010,26.792744,18.4
4,AUS,Australia,EDUADULT,TRY,PC_25_64,2010,37.604309,18.4
5,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2010,35.602947,18.4
6,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2011,25.922543,18.4
7,AUS,Australia,EDUADULT,TRY,PC_25_64,2011,38.342071999999995,18.4
8,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2011,35.735386,18.4
9,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2012,23.563389,18.2
10,AUS,Australia,EDUADULT,TRY,PC_25_64,2012,41.282364,18.2
11,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2012,35.154247,18.2
12,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2013,24.28443,17.0
14,AUS,Australia,EDUADULT,TRY,PC_25_64,2013,39.539928,17.0
16,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2013,36.17564,17.0
18,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2014,22.895836,15.1
19,AUS,Australia,EDUADULT,TRY,PC_25_64,2014,41.901855,15.1
20,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2014,35.202309,15.1
21,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2016,20.067352,14.6
22,AUS,Australia,EDUADULT,TRY,PC_25_64,2016,43.7439,14.6
23,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2016,36.188747,14.6
24,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2017,19.012659,14.7
25,AUS,Australia,EDUADULT,TRY,PC_25_64,2017,45.355675,14.7
26,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2017,35.631668,14.7
27,AUS,Australia,EDUADULT,BUPPSRY,PC_25_64,2018,18.108641,13.7
28,AUS,Australia,EDUADULT,TRY,PC_25_64,2018,45.727478000000005,13.7
29,AUS,Australia,EDUADULT,UPPSRY,PC_25_64,2018,36.163879,13.7
30,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2009,18.354979,29.3
31,AUT,Austria,EDUADULT,TRY,PC_25_64,2009,26.895823999999998,29.3
32,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2009,54.74919499999999,29.3
33,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2010,17.647495000000003,28.9
34,AUT,Austria,EDUADULT,TRY,PC_25_64,2010,27.743721,28.9
35,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2010,54.608784,28.9
36,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2011,17.636829000000002,28.3
37,AUT,Austria,EDUADULT,TRY,PC_25_64,2011,27.956152000000003,28.3
38,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2011,54.407017,28.3
39,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2012,17.08353,28.0
40,AUT,Austria,EDUADULT,TRY,PC_25_64,2012,28.739943,28.0
41,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2012,54.176529,28.0
42,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2013,17.028001999999997,27.8
43,AUT,Austria,EDUADULT,TRY,PC_25_64,2013,29.738844,27.8
44,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2013,53.233154000000006,27.8
45,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2014,16.143998999999997,27.7
46,AUT,Austria,EDUADULT,TRY,PC_25_64,2014,29.904896,27.7
47,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2014,53.951103,27.7
48,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2015,15.351304999999998,27.4
49,AUT,Austria,EDUADULT,TRY,PC_25_64,2015,30.550726,27.4
50,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2015,54.09796899999999,27.4
51,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2016,15.471591,26.9
52,AUT,Austria,EDUADULT,TRY,PC_25_64,2016,31.383963,26.9
53,AUT,Austria,EDUADULT,UPPSRY,PC_25_64,2016,53.14444399999999,26.9
54,AUT,Austria,EDUADULT,BUPPSRY,PC_25_64,2017,15.037576999999999,26.7
55,AUT,Austria,EDUADULT,TRY,PC_25_64,2017,32.39439,26.7
