Country,Age,Year,Unit,Labour force participation rate,Unemployment rate
Australia,15 to 64,2009,Percentage,76.3855632,5.674757204
Australia,15 to 64,2010,Percentage,76.43520217,5.316398544
Australia,15 to 64,2011,Percentage,76.6423642,5.199671155
Australia,15 to 64,2012,Percentage,76.43020058,5.343533861
Australia,15 to 64,2013,Percentage,76.40534772,5.804560356
Australia,15 to 64,2014,Percentage,76.30980434,6.215275205
Australia,15 to 64,2015,Percentage,76.94368065,6.217955948
Australia,15 to 64,2016,Percentage,76.94669143,5.867616104
Australia,15 to 64,2017,Percentage,77.44984611,5.756666272
Australia,15 to 64,2018,Percentage,78.02888798,5.457542239
Austria,15 to 64,2009,Percentage,74.33586463,5.387885882
Austria,15 to 64,2010,Percentage,74.42542722,4.899509342
Austria,15 to 64,2011,Percentage,74.55302121,4.631915489
Austria,15 to 64,2012,Percentage,75.11332701,4.94057053
Austria,15 to 64,2013,Percentage,75.50826271,5.422857709
Austria,15 to 64,2014,Percentage,75.38114911,5.708616246
Austria,15 to 64,2015,Percentage,75.50195558,5.822500987
Austria,15 to 64,2016,Percentage,76.20159341,6.11096004
Austria,15 to 64,2017,Percentage,76.42774065,5.578426024
Austria,15 to 64,2018,Percentage,76.78998126,4.921391757
Belgium,15 to 64,2009,Percentage,66.92506202,7.955510434
Belgium,15 to 64,2010,Percentage,67.66391816,8.35105756
Belgium,15 to 64,2011,Percentage,66.71920728,7.191483913
Belgium,15 to 64,2012,Percentage,66.93528035,7.599665617
Belgium,15 to 64,2013,Percentage,67.53261314,8.495441007
Belgium,15 to 64,2014,Percentage,67.72211215,8.597695242
Belgium,15 to 64,2015,Percentage,67.58457301,8.563655331
Belgium,15 to 64,2016,Percentage,67.62346392,7.887971715
Belgium,15 to 64,2017,Percentage,67.99493278,7.147248914
Belgium,15 to 64,2018,Percentage,68.59472182,6.003280822
Canada,15 to 64,2009,Percentage,77.95538396,8.443642661
Canada,15 to 64,2010,Percentage,77.80698113,8.148123433
Canada,15 to 64,2011,Percentage,77.75238745,7.594341171
Canada,15 to 64,2012,Percentage,77.79568216,7.382826789
Canada,15 to 64,2013,Percentage,78.03153584,7.171117464
Canada,15 to 64,2014,Percentage,77.76107251,7.022946335
Canada,15 to 64,2015,Percentage,77.966151,6.999250209
Canada,15 to 64,2016,Percentage,78.11168053,7.099519902
Canada,15 to 64,2017,Percentage,78.45697887,6.394011354
Canada,15 to 64,2018,Percentage,78.43333534,5.903704707
Czech Republic,15 to 64,2009,Percentage,70.09746729,6.752151634
Czech Republic,15 to 64,2010,Percentage,70.16984267,7.368244067
Czech Republic,15 to 64,2011,Percentage,70.52810448,6.804418924
Czech Republic,15 to 64,2012,Percentage,71.58938105,7.044246912
Czech Republic,15 to 64,2013,Percentage,72.8739406,7.049745726
